label,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
recall,0.2347472399767577,0.16312849162011173,0.14217633042096903,0.19960203954731998,0.2745026331187829,0.13626040878122633,0.21737982039091389,0.15593349894897765,0.13281553398058252,0.180466472303207,0.15772335662438097
precision,0.071365483130189,0.026526162790697673,0.06287319985950122,0.24541284403669725,0.364793934681182,0.10362694300518134,0.41518476478748895,0.11594202898550725,0.06691449814126393,0.1085203366058906,0.3400614304519526
f1_score,0.1094554321322135,0.04563213002031568,0.08718947881149537,0.22014950963582747,0.3132721202003339,0.11772400261608894,0.28535517704676455,0.13299649580311304,0.08899297423887588,0.13553755200350337,0.21549726573361758
accuracy_norm,0.19630327354137658,0.19630327354137658,0.19630327354137658,0.19630327354137658,0.19630327354137658,0.19630327354137658,0.19630327354137658,0.19630327354137658,0.19630327354137658,0.19630327354137658,0.19630327354137658
accuracy,14380.0,14380.0,14380.0,14380.0,14380.0,14380.0,14380.0,14380.0,14380.0,14380.0,14380.0
