label,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
recall,0.26150262085032033,0.07374301675977654,0.12360890302066772,0.09780712683777723,0.3855553929459974,0.26420454545454547,0.28544973544973545,0.012435431413812894,0.029914529914529916,0.20198482194979567,0.17770389469398834
precision,0.13182618907809748,0.031746031746031744,0.19197530864197532,0.2096128170894526,0.3219086021505376,0.09284525790349418,0.3313373253493014,0.029252925292529253,0.05959752321981424,0.0987302040233985,0.35425402407682943
f1_score,0.17528791723599457,0.04438466711499663,0.15038684719535783,0.13337864242630193,0.35086901511620167,0.13740458015267176,0.3066865629219072,0.017452006980802792,0.03983445421624419,0.13263057019645424,0.23668157787718586
accuracy_norm,0.21922525107604018,0.21922525107604018,0.21922525107604018,0.21922525107604018,0.21922525107604018,0.21922525107604018,0.21922525107604018,0.21922525107604018,0.21922525107604018,0.21922525107604018,0.21922525107604018
accuracy,16044.0,16044.0,16044.0,16044.0,16044.0,16044.0,16044.0,16044.0,16044.0,16044.0,16044.0
