label,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
recall,0.13712957582800697,0.12290502793296089,0.11358220810166798,0.23964681009824648,0.3510825043885313,0.15594246782740348,0.3039487585842578,0.17523409134339768,0.1363106796116505,0.19941690962099126,0.27698256563326773
precision,0.11648568608094768,0.028939752696658775,0.10768072289156627,0.2527213114754098,0.41713739462935606,0.08898488120950324,0.47912980118663473,0.15440309816467418,0.0953286257468767,0.14094374613641047,0.33200520409822737
f1_score,0.12596744061916199,0.04684838160136286,0.11055276381909548,0.2460104685305758,0.38127010604074824,0.1133113311331133,0.37194456789624664,0.16416040100250628,0.11219434233658304,0.1651575516117349,0.3020082103628092
accuracy_norm,0.2569279493269992,0.2569279493269992,0.2569279493269992,0.2569279493269992,0.2569279493269992,0.2569279493269992,0.2569279493269992,0.2569279493269992,0.2569279493269992,0.2569279493269992,0.2569279493269992
accuracy,18821.0,18821.0,18821.0,18821.0,18821.0,18821.0,18821.0,18821.0,18821.0,18821.0,18821.0
