label,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
recall,0.1452643811737362,0.07486033519553073,0.09888800635424941,0.2289516229324711,0.3417203042715038,0.14061317183951552,0.29694928684627575,0.14274794572902733,0.12932038834951456,0.17142857142857143,0.3197205074282613
precision,0.11343012704174228,0.017724867724867723,0.11773049645390071,0.23807060649165912,0.4184505150022391,0.08467236467236468,0.4597689397812085,0.13399103139013452,0.0835633626097867,0.1506533435818601,0.331015592077539
f1_score,0.12738853503184713,0.028663101604278072,0.10748974746384633,0.23342208697857236,0.3762129081612111,0.10569741802404153,0.3608425275827482,0.13823094004441153,0.10152439024390243,0.1603709259511796,0.32527002312019054
accuracy_norm,0.25527616239386247,0.25527616239386247,0.25527616239386247,0.25527616239386247,0.25527616239386247,0.25527616239386247,0.25527616239386247,0.25527616239386247,0.25527616239386247,0.25527616239386247,0.25527616239386247
accuracy,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0
