label,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
recall,0.22777454968041835,0.12960893854748604,0.13423351866560762,0.15010570824524314,0.23398186073727326,0.10938682816048448,0.19664553618594824,0.129562392509077,0.13009708737864079,0.1629737609329446,0.15256766840784208
precision,0.061183081005150616,0.018825056799740343,0.06061692969870875,0.1819415134157371,0.3325709533215511,0.08915625482029925,0.384059840082538,0.10195488721804512,0.06272233664107844,0.1020259171381639,0.3145894530703595
f1_score,0.09645669291338584,0.03287515941618251,0.08351865579441561,0.16449744463373087,0.2746983813490189,0.09824084303560807,0.2601100532797624,0.11411259782883111,0.0846387064173825,0.1254910764395555,0.20548195523069895
accuracy_norm,0.17240014197176945,0.17240014197176945,0.17240014197176945,0.17240014197176945,0.17240014197176945,0.17240014197176945,0.17240014197176945,0.17240014197176945,0.17240014197176945,0.17240014197176945,0.17240014197176945
accuracy,12629.0,12629.0,12629.0,12629.0,12629.0,12629.0,12629.0,12629.0,12629.0,12629.0,12629.0
