label,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
recall,0.15933044017358958,0.053003533568904596,0.07810443176831944,0.1276232948583421,0.2777198211624441,0.10178466365954109,0.3346830494275342,0.07761839261151503,0.04832268370607029,0.08815510451378371,0.16642606723035677
precision,0.11271929824561404,0.016961929890689786,0.06883217324052592,0.13951821049612848,0.3254737577504148,0.06630045988758304,0.2510341938524376,0.08169596690796277,0.05828516377649326,0.15628356605800214,0.2687909403797047
f1_score,0.1320318520421269,0.02569960022844089,0.07317574511819117,0.13330593231949583,0.2997064854649994,0.0802970526804363,0.2868854911582538,0.07960499798468358,0.05283842794759826,0.11272515979081928,0.2055701791627749
accuracy_norm,0.19421364775156053,0.19421364775156053,0.19421364775156053,0.19421364775156053,0.19421364775156053,0.19421364775156053,0.19421364775156053,0.19421364775156053,0.19421364775156053,0.19421364775156053,0.19421364775156053
accuracy,13721.0,13721.0,13721.0,13721.0,13721.0,13721.0,13721.0,13721.0,13721.0,13721.0,13721.0
