label,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
recall,0.1568855316676351,0.12737430167597766,0.10127084988085783,0.226215644820296,0.37068461088355764,0.16994700984102953,0.25270734284204965,0.15650678387158418,0.17592233009708738,0.20495626822157434,0.2543246726816363
precision,0.16738995660260383,0.02347127856701668,0.09458456973293769,0.265199008601837,0.4043724567142743,0.1000445632798574,0.45289940828402364,0.13072625698324022,0.09960422163588391,0.16580188679245284,0.30686747974134404
f1_score,0.16196760647870426,0.0396383866481224,0.09781357882623705,0.24416107382550337,0.3867964128983019,0.1259467040673212,0.32440450962109013,0.142459558184032,0.12719359820300435,0.1833116036505867,0.27813636026411453
accuracy_norm,0.24537909192672072,0.24537909192672072,0.24537909192672072,0.24537909192672072,0.24537909192672072,0.24537909192672072,0.24537909192672072,0.24537909192672072,0.24537909192672072,0.24537909192672072,0.24537909192672072
accuracy,17975.0,17975.0,17975.0,17975.0,17975.0,17975.0,17975.0,17975.0,17975.0,17975.0,17975.0
