label,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
recall,0.19291109819872168,0.10279329608938548,0.13224781572676728,0.17423206068896904,0.25811878291398477,0.12093111279333837,0.21797411516111992,0.14848079495509267,0.12893203883495147,0.17900874635568514,0.15317821043348484
precision,0.05026495079485239,0.015532669255444876,0.05997838616714697,0.22714007782101167,0.36381443298969074,0.0988857938718663,0.41737261347831583,0.113896218117854,0.06472996685513745,0.10223110223110222,0.32358842075093147
f1_score,0.07975018015853953,0.026987386330302142,0.08252788104089219,0.1971989584066437,0.3019852815334588,0.10880299676485612,0.2863835509478159,0.12890916632102858,0.08618899273104881,0.13013988978380672,0.20792854182973433
accuracy_norm,0.1857645998853305,0.1857645998853305,0.1857645998853305,0.1857645998853305,0.1857645998853305,0.1857645998853305,0.1857645998853305,0.1857645998853305,0.1857645998853305,0.1857645998853305,0.1857645998853305
accuracy,13608.0,13608.0,13608.0,13608.0,13608.0,13608.0,13608.0,13608.0,13608.0,13608.0,13608.0
