label,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
recall,0.24550526968381897,0.050647820965842166,0.0443176831943835,0.07056663168940189,0.4315946348733234,0.13630123553637968,0.28721027645908964,0.005698565533503635,0.018370607028753993,0.1923659497122084,0.2753144978346051
precision,0.14715719063545152,0.03598326359832636,0.13065976714100905,0.09306348382632762,0.3292218495992724,0.06832481321274085,0.2518981141317659,0.08868501529051988,0.09387755102040816,0.1608816822903471,0.3529256256609094
f1_score,0.18401486988847585,0.042074363992172216,0.06618610747051112,0.08026855650876538,0.3735207816077129,0.09102219893916573,0.2683977035490605,0.01070901033973412,0.03072812291249165,0.1752207505518764,0.3093261247345047
accuracy_norm,0.23204857818228142,0.23204857818228142,0.23204857818228142,0.23204857818228142,0.23204857818228142,0.23204857818228142,0.23204857818228142,0.23204857818228142,0.23204857818228142,0.23204857818228142,0.23204857818228142
accuracy,16394.0,16394.0,16394.0,16394.0,16394.0,16394.0,16394.0,16394.0,16394.0,16394.0,16394.0
