label,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
recall,0.3447098976109215,0.03571428571428571,0.06493506493506493,0.05659075224292615,0.35871104815864024,0.296028880866426,0.0594558599695586,0.009373571101966164,0.023476523476523476,0.24205485415759687,0.4778475640808012
precision,0.18338629142078983,0.022058823529411766,0.1328125,0.12576687116564417,0.33215837363718337,0.09046493301812451,0.500801282051282,0.06902356902356903,0.07642276422764227,0.15237051246916963,0.3348997680090417
f1_score,0.23940740740740743,0.02727272727272727,0.08722421754746022,0.0780580675868634,0.34492445201106625,0.1385803959439884,0.10629251700680273,0.01650563607085346,0.03591899121131066,0.18701648166834844,0.3938026789773721
accuracy_norm,0.2400246466381612,0.2400246466381612,0.2400246466381612,0.2400246466381612,0.2400246466381612,0.2400246466381612,0.2400246466381612,0.2400246466381612,0.2400246466381612,0.2400246466381612,0.2400246466381612
accuracy,12855.0,12855.0,12855.0,12855.0,12855.0,12855.0,12855.0,12855.0,12855.0,12855.0,12855.0
