label,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
recall,0.2022184300341297,0.1717687074829932,0.0718105423987777,0.16356107660455488,0.301699716713881,0.129706034038164,0.05622146118721461,0.09899405578417925,0.05044955044955045,0.14888985633434915,0.21066032931590561
precision,0.07542966263526417,0.03631787126932758,0.03669008587041374,0.1430583501006036,0.3049664429530201,0.05792261630584984,0.30261136712749614,0.12084845101869941,0.04724041159962582,0.11495798319327731,0.2587033562643319
f1_score,0.10987482614742698,0.0599584446423271,0.0485662619478171,0.15262423526886335,0.3033242846335276,0.08008278936475084,0.09482551143200962,0.10883498806082696,0.048792270531400964,0.12974203338391502,0.23222305389221556
accuracy_norm,0.16810127527680788,0.16810127527680788,0.16810127527680788,0.16810127527680788,0.16810127527680788,0.16810127527680788,0.16810127527680788,0.16810127527680788,0.16810127527680788,0.16810127527680788,0.16810127527680788
accuracy,9003.0,9003.0,9003.0,9003.0,9003.0,9003.0,9003.0,9003.0,9003.0,9003.0,9003.0
